Courses,Student Full Name,Date Of Birth,Gender,Email,Password,Mobile Number,Country,Parent Name,Relationship,Parent's Mobile Number,Payment Status
1,Abdullah Khaja,10/02/2005,Male,abd01@gmail.com,123,97001 25001,Singapore,Ahamed,Father,97001 25001,
1,Abdullah ,12/06/2006,Male,abdul02@gmail.com,123,97002 25002,Singapore,Syed Ibrahem,Father,97002 25002,
1,Abdul Basith,15/06/2004,Male,basith03@gmail.com,123,97003 25003,Singapore,Ismail Mohamed,Father,97003 25003,
1,Ahamed Billal,16/06/2005,Male,billal04@gmail.com,123,97004 25004,Singapore,Husain Bathusha,Father,97004 25004,
1,Basith Ali,17/06/2005,Male,basith05@gmail.com,123,97005 25005,Singapore,Mohaideen,Father,97005 25005,
1,Hidhayath,18/06/2005,Male,hidha06@gmail.com,123,97006 25006,Singapore,Rifayullah,Father,97006 25006,
1,Ishaq,19/06/2005,Male,isha07@gmail.com,123,97007 25007,Singapore,Khaja Hussain,Father,97007 25007,
1,Mohamed,20/06/2005,Male,mohamed08@gmail.com,123,97008 25008,Singapore,Hajji Rahman,Father,97008 25008,
1,Mohamed Thoufeeq,21/06/2005,Male,mdthouf09@gmail.com,123,97009 25009,Singapore,Raqeebullah,Father,97009 25009,
1,Mohamed Kadher,22/06/2005,Male,kader10@gmail.com,123,97010 25010,Singapore,Ahamed Billal,Father,97010 25010,
1,Mohamed Riyaz,23/06/2005,Male,riyaz11@gmail.com,123,97011 25011,Singapore,Ajees,Father,97011 25011,
1,Mohamed Rafeek,24/06/2005,Male,rafeek12@gmail.com,123,97012 25012,Singapore,Yoiusuf Ahmed,Father,97012 25012,
1,Niyaz,25/06/2005,Male,niyaz13@gmail.com,123,97013 25013,Singapore,Syed Mohamed,Father,97013 25013,
1,Nijamudeen,26/06/2005,Male,nijam14@gmail.com,123,97014 25014,Singapore,Shamshul Huq,Father,97014 25014,
1,Nizar,27/06/2005,Male,nizar15@gmail.com,123,97015 25015,Singapore,Hassan Mohamed,Father,97015 25015,
1,Peer Moideen,28/06/2005,Male,peer16@gmail.com,123,97016 25016,Singapore,Shamshul Hassan,Father,97016 25016,
1,Suhail,29/06/2005,Male,suhail17@gmail.com,123,97017 25017,Singapore,Shahul Hameed,Father,97017 25017,
1,Salman,30/06/2005,Male,salman18@gmail.com,123,97018 25018,Singapore,Syed Oliyullah,Father,97018 25018,
1,Sadiq Hussain,01/07/2005,Male,sadiq19@gmail.com,123,97019 25019,Singapore,Khaja Ibrahim,Father,97019 25019,
1,Thariq,02/07/2005,Male,thariq20@gmail.com,123,97020 25020,Singapore,Mohamed,Father,97020 25020,
1,Aadhila,03/07/2005,Female,adhila21@gmail.com,123,97021 25021,Singapore,Umar Farook,Father,97021 25021,
1,Aafrose,04/07/2005,Female,afrose22@gmail.com,123,97022 25022,Singapore,Nasif Ahmed,Father,97022 25022,
1,Aafrin,05/07/2005,Female,afrin23@gmail.com,123,97023 25023,Singapore,Zakriyaa,Father,97023 25023,
1,Begum,06/07/2005,Female,begum24@gmail.com,123,97024 25024,Singapore,Khaja Sharief,Father,97024 25024,
1,Barvin,07/07/2005,Female,barvin25@gmail.com,123,97025 25025,Singapore,Meeran Yousuf,Father,97025 25025,
1,Fathima,08/07/2005,Female,fathima26@gmail.com,123,97026 25026,Singapore,Mohamed Dawood,Father,97026 25026,
1,Farshana,09/07/2005,Female,farsana27@gmail.com,123,97027 25027,Singapore,khaja Saleem,Father,97027 25027,
1,Sulaiha,10/07/2005,Female,sulaiha28@gmail.com,123,97028 25028,Singapore,Rafeek Ahmed,Father,97028 25028,
1,Zainab,11/07/2005,Female,zaina29@gmail.com,123,97029 25029,Singapore,Jasam ,Father,97029 25029,
1,Zainab Nisha,12/07/2005,Female,zainisha30@gmail.com,123,97030 25030,Singapore,Gnaniyar Ahamed,Father,97030 25030,
1,Shifana Ahamed,27/07/2006,Female,shifa31@gmail.com,123,97031 25031,Singapore,Mohamed kasim ,Father,97031 25031,
1,Shabana,28/07/2006,Female,shaba32@gmail.com,123,97032 25032,Singapore,Abdul salam,Father,97032 25032,
1,Safana Maryam,29/07/2006,Female,safa33@gmail.com,123,97033 25033,Singapore,Abdul Rahuman,Father,97033 25033,
1,Nisha,30/07/2006,Female,Nisha34@gmail.com,123,97034 25034,Singapore,Amthan,Father,97034 25034,
1,Bajiriya,31/07/2006,Female,Bajir35@gmail.com,123,97035 25035,Singapore,Muzzamil,Father,97035 25035,
1,Zuvariya,01/08/2005,Female,zuva36@gmail.com,123,97036 25036,Singapore,Jasam Ahamed,Father,97036 25036,
1,Abdul Latheef,02/08/2005,Male,Abdulathe37@gmail.com,123,97037 25037,Singapore,Hammed,Father,97037 25037,
1,Abdul Malik,03/08/2005,Male,malik38@gmail.com,123,97038 25038,Singapore,Kahaja Ahmed,Father,97038 25038,
1,Zyaudin ,04/08/2005,Male,zyaudin39@gmail.com,123,97039 25039,Singapore,Ziyadullah,Father,97039 25039,
1,Alauduin,05/08/2005,Male,Alaudin40@gmail.com,123,97040 25040,Singapore,Peer moideen,Father,97040 25040,
1,Shoukathali,06/08/2005,Male,shouk41@gmail.com,123,97041 25041,Singapore,Abdullah,Father,97041 25041,
1,Abuthalif,07/08/2005,Male,Abutha42@gmail.com,123,97042 25042,Singapore,Asraf ali,Father,97042 25042,
1,Sayeed,08/08/2005,Male,Sayed43@gmail.com,123,97043 25043,Singapore,Kamil ahmaed,Father,97043 25043,
1,Buhari,09/08/2005,Male,Buhari44@gmail.com,123,97044 25044,Singapore,Mohamed arkaam,Father,97044 25044,
1,Sahul Hameed,10/08/2005,Male,sahul45@gmail.com,123,97045 25045,Singapore,Mohamed faizal,Father,97045 25045,
1,Badusha,11/08/2005,Male,badusha45@gmail.com,123,97046 25046,Singapore,Suhail ,Father,97046 25046,
1,Sirajudeen,12/08/2005,Male,siraj47@gmail.com,123,97047 25047,Singapore,Riyass,Father,97047 25047,
1,Mohamed Asan ,13/08/2005,Male,Asan48@gmail.com,123,97048 25048,Singapore,Hyder,Father,97048 25048,
1,Mohamed Azarudeen,14/08/2005,Male,Azar49@gmail.com,123,97049 25049,Singapore,Ubaith,Father,97049 25049,
1,Feroz khan,15/08/2005,Male,Feroz50@gmail.com,123,97050 25050,Singapore,Siddiq,Father,97050 25050,
