Courses,Student Full Name,Date Of Birth,Gender,Email,Password,Mobile Number,Country,Parent Name,Relationship,Parent's Mobile Number,Payment Status
1,Abdullah Khaja,10-02-2005,Male,abd01@gmail.com,123,97001 25001,Singapore,Ahamed,Father,97001 25001,
1,Abdullah ,12-06-2006,Male,abdul02@gmail.com,123,97002 25002,Singapore,Syed Ibrahem,Father,97002 25002,
1,Abdul Basith,15-06-2004,Male,basith03@gmail.com,123,97003 25003,Singapore,Ismail Mohamed,Father,97003 25003,
1,Ahamed Billal,16-06-2005,Male,billal04@gmail.com,123,97004 25004,Singapore,Husain Bathusha,Father,97004 25004,
1,Basith Ali,17-06-2005,Male,basith05@gmail.com,123,97005 25005,Singapore,Mohaideen,Father,97005 25005,
1,Hidhayath,18-06-2005,Male,hidha06@gmail.com,123,97006 25006,Singapore,Rifayullah,Father,97006 25006,
1,Ishaq,19-06-2005,Male,isha07@gmail.com,123,97007 25007,Singapore,Khaja Hussain,Father,97007 25007,
1,Mohamed,20-06-2005,Male,mohamed08@gmail.com,123,97008 25008,Singapore,Hajji Rahman,Father,97008 25008,
1,Mohamed Thoufeeq,21-06-2005,Male,mdthouf09@gmail.com,123,97009 25009,Singapore,Raqeebullah,Father,97009 25009,
1,Mohamed Kadher,22-06-2005,Male,kader10@gmail.com,123,97010 25010,Singapore,Ahamed Billal,Father,97010 25010,
1,Mohamed Riyaz,23-06-2005,Male,riyaz11@gmail.com,123,97011 25011,Singapore,Ajees,Father,97011 25011,
1,Mohamed Rafeek,24-06-2005,Male,rafeek12@gmail.com,123,97012 25012,Singapore,Yoiusuf Ahmed,Father,97012 25012,
1,Niyaz,25-06-2005,Male,niyaz13@gmail.com,123,97013 25013,Singapore,Syed Mohamed,Father,97013 25013,
1,Nijamudeen,26-06-2005,Male,nijam14@gmail.com,123,97014 25014,Singapore,Shamshul Huq,Father,97014 25014,
